title,price,rating,colors,size,gender,timestamp
T-shirt 2,1634400.0,3.9,3,M,Women,2025-05-19T14:46:30.289406
Hoodie 3,7950080.0,4.8,3,L,Unisex,2025-05-19T14:46:30.289869
Pants 4,7476960.0,3.3,3,XL,Men,2025-05-19T14:46:30.290301
Outerwear 5,5145440.0,3.5,3,XXL,Women,2025-05-19T14:46:30.290748
Jacket 6,2453920.0,3.3,3,S,Unisex,2025-05-19T14:46:30.291226
Crewneck 7,6892000.0,4.3,3,M,Men,2025-05-19T14:46:30.291761
T-shirt 8,7802560.0,3.1,3,L,Women,2025-05-19T14:46:30.292205
Hoodie 9,3972160.0,3.2,3,XL,Unisex,2025-05-19T14:46:30.292640
Pants 10,3100160.0,4.2,3,XXL,Men,2025-05-19T14:46:30.293084
Jacket 12,8527840.0,3.9,3,M,Unisex,2025-05-19T14:46:30.293952
Crewneck 13,5447200.0,3.2,3,L,Men,2025-05-19T14:46:30.294378
T-shirt 14,3248800.0,3.8,3,XL,Women,2025-05-19T14:46:30.294815
Hoodie 15,2184160.0,3.6,3,XXL,Unisex,2025-05-19T14:46:30.295235
Outerwear 17,841600.0,3.8,3,M,Women,2025-05-19T14:46:30.296093
Jacket 18,5500000.0,3.8,3,L,Unisex,2025-05-19T14:46:30.296518
Crewneck 19,1308960.0,3.6,3,XL,Men,2025-05-19T14:46:30.296960
T-shirt 20,1325600.0,3.4,3,XXL,Women,2025-05-19T14:46:30.297379
Pants 22,4319680.0,4.9,3,M,Men,2025-05-19T14:46:30.460237
Outerwear 23,4655840.0,3.7,3,L,Women,2025-05-19T14:46:30.460687
Jacket 24,8223520.0,3.9,3,XL,Unisex,2025-05-19T14:46:30.461111
Crewneck 25,8322559.999999999,3.3,3,XXL,Men,2025-05-19T14:46:30.461546
T-shirt 26,7292320.0,4.6,3,S,Women,2025-05-19T14:46:30.462097
Hoodie 27,3551840.0,4.8,3,M,Unisex,2025-05-19T14:46:30.462527
Pants 28,5216160.0,4.0,3,L,Men,2025-05-19T14:46:30.462994
Outerwear 29,861600.0,3.1,3,XL,Women,2025-05-19T14:46:30.463413
Jacket 30,8610240.0,3.7,3,XXL,Unisex,2025-05-19T14:46:30.463845
T-shirt 32,6657920.0,3.4,3,M,Women,2025-05-19T14:46:30.464698
Hoodie 33,7248160.0,3.5,3,L,Unisex,2025-05-19T14:46:30.465115
Pants 34,8362719.999999999,3.8,3,XL,Men,2025-05-19T14:46:30.465562
Outerwear 35,1356160.0,3.8,3,XXL,Women,2025-05-19T14:46:30.465993
Jacket 36,7249280.0,3.7,3,S,Unisex,2025-05-19T14:46:30.466412
Crewneck 37,6006080.0,4.0,3,M,Men,2025-05-19T14:46:30.466853
